NODE_ID,ARS_ID,정류소명,경도,위도,정류소타입
103000120,4221,서울교통공사.서울새활용플라자,127.0569134234,37.5620495039,일반차로
103000121,4222,뚝섬서울숲,127.036601198,37.544618041,일반차로
103000122,4223,뚝섬서울숲,127.0363946274,37.5456718598,일반차로
103000125,4226,사근동하이츠아파트앞,127.0486060331,37.5611984155,일반차로
103000126,4227,사근동하이츠아파트앞,127.0486881757,37.561306176,일반차로
103000127,4228,사근동주민센터,127.0456489178,37.5608144197,일반차로
103000128,4229,사근동주민센터,127.0457112392,37.5609315252,일반차로
103000129,4230,사근고개,127.0445908781,37.5611617078,일반차로
103000130,4231,사근고개,127.0445101518,37.5612555615,일반차로
103000131,4232,한양지구대,127.0420211147,37.5602143513,일반차로
103000132,4233,한양지구대,127.0419242341,37.5602445802,일반차로
103000133,4234,사근동벽산아파트,127.0499269056,37.5601892041,일반차로
103000134,4236,뚝섬역8번출구,127.0455095172,37.5476928251,일반차로
103000135,4237,뚝섬역2번출구,127.046846,37.547575,일반차로
103000136,4238,뚝섬역5번출구,127.0492754339,37.5464803389,일반차로
103000137,4239,뚝섬역4번출구,127.0492756444,37.5468001934,일반차로
103000138,4240,성수역1번출구,127.0538293527,37.5454196769,일반차로
103000139,4241,SK테크노빌딩앞,127.050228,37.545888,일반차로
103000140,4242,SK테크노빌딩앞,127.0500259308,37.545769848,일반차로
103000141,4243,경동초등학교입구,127.0494809367,37.5437724292,일반차로
103000142,4244,경동초등학교입구,127.049212934,37.5433912967,일반차로
103000143,4245,경일초등학교앞,127.0482363415,37.5407684319,일반차로
103000144,4246,경일초등학교앞,127.0481685479,37.540919377,일반차로
103000145,4247,한양여대앞,127.0503,37.55951,일반차로
103000150,4252,도선고등학교.꽃재교회,127.0277827978,37.5670932118,일반차로
103900215,4253,성수역4번출구,127.054582,37.544788,일반차로
103000152,4254,리버하우스,127.0510060889,37.5509002648,일반차로
103000153,4255,리버하우스,127.0506905447,37.5512302013,일반차로
103900213,4256,성수사거리,127.062352,37.542562,일반차로
103900214,4257,성수사거리,127.0623621248,37.5427980761,일반차로
103000156,4258,성동제일새마을금고,127.0471032979,37.560811596,일반차로
103000157,4259,성동제일새마을금고,127.0473012813,37.560884127,일반차로
103000159,4261,청계9가.텐즈힐2단지정문앞,127.0255654313,37.570749453,일반차로
103000162,4264,뚝섬서울숲,127.0375618762,37.5434527836,일반차로
103000163,4265,서울숲1번출입구,127.0426958799,37.5422230617,일반차로
103000164,4266,서울숲1번출입구,127.042974358,37.5419781098,일반차로
103000165,4267,용답휴식공원,127.0480538231,37.5693121111,일반차로
103000166,4268,용답휴식공원,127.0479373245,37.5695541839,일반차로
103000167,4269,성수2가3동주민센터,127.0542376417,37.5504251323,일반차로
103000168,4270,극동그린아파트앞,127.0113916813,37.5420008413,일반차로
103000169,4271,마장역,127.0430338383,37.5663469729,일반차로
103000170,4272,행당신동아.행당푸르지오아파트,127.0340192689,37.5561408382,일반차로
103000171,4273,숭신초등학교,127.028195858,37.5671676226,일반차로
103000172,4275,극동아파트,127.0239338279,37.5580974527,일반차로
103000173,4276,풍림아파트,127.0239062231,37.5591427175,일반차로
103000174,4277,벽산아파트,127.0256885739,37.555602288,일반차로
103000175,4278,대림아파트,127.0249260274,37.5565738309,일반차로
103000176,4279,행당역,127.0290982639,37.557000896,일반차로
103000177,4280,행당역,127.0287643907,37.557079373,일반차로
103000178,4281,무학중학교,127.0330162995,37.5583911544,일반차로
103000179,4282,극동그린아파트,127.011904958,37.5420646255,일반차로
103000183,4286,성수동차고지,127.055682,37.535793,일반차로
103000185,4288,성수두산위브아파트,127.0585185177,37.5365921538,일반차로
103000186,4289,왕십리자이.신당현대아파트,127.02363,37.560847,일반차로
103000187,4290,왕십리자이.신당현대아파트,127.024102104,37.5611519007,일반차로
103000188,4291,성수두산위브아파트,127.058488,37.536507,일반차로
103000189,4293,우리은행화양동지점,127.0661376875,37.548116421,일반차로
