점포명,주소,전화번호,비고,예약 가능 여부,운영 시간,latitude,longitude
대치,서울특별시 강남구 도곡로 511 (대치동),1522-3232,리저브 매장 2번,True,09:00 - 22:00,37.4996326317154,127.062238112663
신세계푸드마켓도곡,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)...",1522-3232,리저브 매장 2번,False,07:30 - 21:30,37.4894573055974,127.053964659634
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)...",1522-3232,리저브 매장 2번,True,[URL],37.5069494959122,127.055596615858
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층...,1522-3232,리저브 매장 2번,True,08:00 - 22:00,37.5037725578123,127.05119768025
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)...",1522-3232,리저브 매장 2번,False,09:30 - 20:00,37.5267583374608,127.02810647031
압구정로,서울특별시 강남구 압구정로42길 32 (신사동)...,1522-3232,리저브 매장 2번,True,07:00 - 23:00,37.526839647124,127.034732418925
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),1522-3232,리저브 매장 2번,False,10:00 - 21:30,37.495927321591,127.038901507867
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)...",1522-3232,리저브 매장 2번,True,08:30 - 22:30,37.5024001842287,127.040672852455
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)...",1522-3232,리저브 매장 2번,True,09:00 - 20:00,37.5166119773031,127.041258693516
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호...,1522-3232,리저브 매장 2번,False,07:30 - 23:00,37.4933489108525,127.06191661451
포이,서울특별시 강남구 논현로 88 (개포동),1522-3232,리저브 매장 2번,True,10:00 - 20:30,37.4778176367596,127.045132028081
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232,리저브 매장 2번,False,08:00 - 22:00,37.4997440471512,127.034954751198
학여울역,서울특별시 강남구 영동대로 215 (대치동),1522-3232,리저브 매장 2번,True,[URL],37.4979966229511,127.068518488251
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩...,1522-3232,리저브 매장 2번,False,09:30 - 21:00,37.5107810974307,127.044572539842
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),1522-3232,리저브 매장 2번,True,07:00 - 22:00,37.5134844497251,127.052717611728
GS타워,서울특별시 강남구 논현로 508 (역삼동),1522-3232,리저브 매장 2번,False,10:00 - 21:00,37.5019949322814,127.037336400239
압구정미소,서울특별시 강남구 논현로 841 (신사동),1522-3232,리저브 매장 2번,True,08:30 - 20:00,37.5239684663137,127.027758806248
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)...",1522-3232,리저브 매장 2번,False,09:00 - 23:00,37.5039452362982,127.048527611976
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),1522-3232,리저브 매장 2번,True,07:30 - 21:30,37.5152493607324,127.060205437758
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),1522-3232,리저브 매장 2번,False,10:00 - 20:30,37.4922351875816,127.039407878096
신압구정,서울특별시 강남구 언주로174길 29 (신사동),1522-3232,리저브 매장 2번,True,[URL],37.5281188263201,127.036437572652
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)...",1522-3232,리저브 매장 2번,True,08:00 - 22:00,37.5089968994634,127.040393673483
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)...",1522-3232,리저브 매장 2번,False,09:30 - 20:00,37.4964929427239,127.029697867857
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)...",1522-3232,리저브 매장 2번,True,07:00 - 23:00,37.5265428105713,127.040533570867
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),1522-3232,리저브 매장 2번,False,10:00 - 21:00,37.5025952829367,127.044101954044
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)...",1522-3232,리저브 매장 2번,True,08:30 - 22:00,37.5057744473143,127.057946040574
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)...",1522-3232,리저브 매장 2번,False,09:00 - 21:30,37.5049885992418,127.046743275216
